Ticker,Volatility,Mean_Return,Target_MDD,Target_TTR,Sector_Communication Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Real Estate,Sector_Technology,Sector_Utilities,Crisis_Type_Dot-Com Bubble,Crisis_Type_Global Financial Crisis
A,1.9241039874671735,0.07071417931074027,-0.4273485275721685,9999,False,False,False,False,False,True,False,False,False,False,False,False
A,4.271216441392756,0.008204541516471342,-0.9317610251374117,9999,False,False,False,False,False,True,False,False,False,False,True,False
A,2.6547716320706254,0.026247071399154047,-0.6767151186831559,641,False,False,False,False,False,True,False,False,False,False,False,True
AAPL,2.115365079565296,0.11974323937329673,-0.3142725393783878,74,False,False,False,False,False,False,False,False,True,False,False,False
AAPL,3.6560016008137355,0.09160456204852023,-0.8180144725482257,9999,False,False,False,False,False,False,False,False,True,False,True,False
AAPL,2.466642950761497,0.12829379041371786,-0.608667201906457,274,False,False,False,False,False,False,False,False,True,False,False,True
ABBV,1.5775025407614207,0.0859016123032473,-0.34042344386506923,79,False,False,False,False,False,True,False,False,False,False,False,False
ABT,1.7538204518698879,0.046779857774400205,-0.3387673710100752,9999,False,False,False,False,False,True,False,False,False,False,False,False
ABT,1.999620855763842,0.065099705968803,-0.4566485185568694,9999,False,False,False,False,False,True,False,False,False,False,True,False
ABT,1.4263311391389115,0.03069962379873458,-0.28927082931922116,902,False,False,False,False,False,True,False,False,False,False,False,True
ACGL,2.2792307519184494,0.07976740676691693,-0.5383976875158931,636,False,False,False,False,True,False,False,False,False,False,False,False
ACGL,2.0948646286694363,0.11759777377801302,-0.22214838881755944,9999,False,False,False,False,True,False,False,False,False,False,True,False
ACGL,1.8460084687723186,0.058103488499269364,-0.43947304565110595,541,False,False,False,False,True,False,False,False,False,False,False,True
ACN,1.921736461689883,0.07535152374623429,-0.3968777507876955,9999,False,False,False,False,False,False,False,False,True,False,False,False
ACN,2.0604958331768,0.04960555518635021,-0.35810449805751343,223,False,False,False,False,False,False,False,False,True,False,False,True
ADBE,2.484108894450366,0.08950282153975052,-0.6002149800846833,9999,False,False,False,False,False,False,False,False,True,False,False,False
ADBE,4.140756200523512,0.14620702816860126,-0.7988732396574775,9999,False,False,False,False,False,False,False,False,True,False,True,False
ADBE,2.695809319586211,0.0063493027333714645,-0.6670833428700765,9999,False,False,False,False,False,False,False,False,True,False,False,True
ADI,2.288426822786739,0.08526172022747464,-0.3361994205422368,79,False,False,False,False,False,False,False,False,True,False,False,False
